For each nBits calculate their wOffset stats:
nBits count min median mean mode stdev skew kurtosis pvariance variance max mad cv medad stderr
398 881 -6344 -195 -63.01 -1055 2951.19 0.08 -0.46 8699648.2 8709534 6344 2356.25 -4683.42 1985 99.43
399 671 -6383 66 25.04 382 2617.95 0.02 0.05 6843464.99 6853679 6366 2040.0 10453.12 1606 101.06
400 839 -6391 -132 -211.38 65 3048.19 -0.02 -0.56 9280414.88 9291489 6390 2475.54 -1442.07 2043 105.24
401 671 -6412 -78 -55.41 1022 2652.74 0.02 -0.01 7026553.98 7037041 6381 2062.44 -4787.24 1618 102.41
402 755 -6426 -104 -185.76 -1396 2799.6 -0.11 -0.07 7827359.8 7837741 6422 2166.06 -1507.08 1665 101.89
403 671 -6444 118 17.66 807 2427.93 -0.17 0.27 5886047.1 5894832 6264 1888.28 13746.85 1480 93.73
404 797 -6464 -37 -272.52 283 3069.7 -0.13 -0.61 9411260.5 9423084 6436 2498.95 -1126.43 2089 108.73
405 671 -6479 11 -86.58 -1630 2813.07 -0.06 -0.54 7901580.1 7913374 6217 2303.55 -3249.0 1967 108.6
406 713 -6491 60 -287.23 3927 3057.86 -0.15 -0.76 9337417.86 9350532 6376 2532.9 -1064.6 2212 114.52
407 671 -6510 -138 -116.73 -1619 2835.08 -0.04 -0.63 8025671.81 8037650 6068 2342.17 -2428.8 1972 109.45
408 713 -6524 -24 -262.45 844 3016.41 -0.19 -0.76 9085939.6 9098701 6171 2508.79 -1149.32 2187 112.97
409 671 -6544 -296 -268.47 1455 2952.01 -0.03 -0.74 8701366.48 8714354 6437 2465.64 -1099.56 2153 113.96
410 713 -6558 -41 -115.55 -2180 3275.88 -0.06 -0.81 10716316.15 10731367 6526 2742.21 -2835.14 2445 122.68
411 671 -6562 -433 -577.35 -402 3251.94 0.01 -0.69 10559346.54 10575107 6573 2685.82 -563.25 2385 125.54
412 713 -6573 -1267 -988.43 -6011 3877.43 0.23 -1.1 15013415.68 15034502 6588 3339.26 -392.28 3317 145.21
413 671 -6608 -1004 -1071.43 -6601 3490.45 0.15 -0.9 12165080.08 12183237 6586 2937.26 -325.77 2785 134.75
414 713 -6624 -1257 -1040.4 1187 3756.31 0.25 -0.98 14090068.95 14109858 6619 3195.04 -361.05 3141 140.67
415 671 -6627 -1065 -830.49 3446 3386.31 0.24 -0.67 11449992.3 11467082 6633 2789.66 -407.75 2467 130.73
416 713 -6656 -1212 -966.83 -4673 3820.95 0.22 -1.03 14579182.73 14599659 6654 3254.05 -395.2 3380 143.1
417 671 -6666 -458 -519.93 1961 3164.04 -0.03 -0.79 9996200.61 10011120 6663 2655.07 -608.55 2416 122.15
418 713 -6688 -630 -547.01 -2666 3778.12 0.13 -1.02 14254199.31 14274219 6686 3211.74 -690.68 3121 141.49
419 671 -6696 -898 -900.21 -4654 3407.67 0.13 -0.81 11594887.01 11612193 6614 2823.52 -378.54 2513 131.55
420 671 -6718 -1448 -944.79 209 3952.35 0.29 -1.1 15597769.51 15621050 6702 3414.68 -418.33 3407 152.58
421 671 -6733 -696 -545.99 109 3560.63 0.22 -0.79 12659159.75 12678054 6733 2944.32 -652.14 2615 137.46
422 713 -6744 56 -46.42 -4579 3750.85 -0.02 -0.92 14049124.63 14068857 6750 3108.78 -8080.35 2624 140.47
423 671 -6758 139 184.35 6678 3477.69 0.03 -0.86 12076311.85 12094336 6754 2892.33 1886.46 2617 134.25
424 671 -6781 96 178.05 -5276 3841.4 0.11 -0.94 14734393.88 14756386 6783 3201.42 2157.44 2776 148.3
425 671 -6794 -635 -532.1 466 3475.92 0.08 -0.91 12064009.96 12082016 6777 2915.39 -653.25 2676 134.19
426 713 -6816 -486 -432.37 -1264 3648.01 0.09 -0.97 13289306.24 13307971 6788 3077.81 -843.73 2805 136.62
427 671 -6824 -852 -570.38 -257 3301.26 0.12 -0.79 10882084.29 10898326 6781 2754.89 -578.78 2521 127.44
428 671 -6840 -927 -835.4 6845 3540.89 0.25 -0.77 12519228.51 12537914 6845 2958.3 -423.86 2676 136.69
